Full Name,First Name,Last Name,First Last,List of Congresses,Chamber,State,Gender,Party,Ethnicity,BirthYear,Congress Name,Alternative name (Wikipedia),Congress ID
"DOOLEY, CALVIN",DOOLEY,CALVIN,CALVIN DOOLEY,102 103 104 105 106 107 108,H,CA,M,D,W,1954,"DOOLEY, CALVIN M.",CALVIN DOOLEY,D000424
"DOOLITTLE, JOHN",DOOLITTLE,JOHN,JOHN DOOLITTLE,102 103 104 105 106 107 108 109 110,H,CA,M,R,W,1950,"DOOLITTLE, JOHN T.",JOHN DOOLITTLE,D000429
"DORGAN, BYRON",DORGAN,BYRON,BYRON DORGAN,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111,H,ND,M,D,W,1942,"DORGAN, BYRON L.",BYRON DORGAN,D000432
"DORNAN, ROBERT",DORNAN,ROBERT,ROBERT DORNAN,97 99 100 101 102 103 104,H,CA,M,R,W,1933,"DORNAN, ROBERT K.",ROBERT DORNAN,D000435
"DOUGHERTY, CHARLES",DOUGHERTY,CHARLES,CHARLES DOUGHERTY,97,H,PA,M,R,W,1937,"DOUGHERTY, CHARLES F.",CHARLES DOUGHERTY,D000446
"DOUGLAS, CHARLES",DOUGLAS,CHARLES,CHARLES DOUGLAS,101,H,NH,M,R,W,1942,"DOUGLAS, CHUCK",CHUCK DOUGLAS,D000451
"DOWDY, CHARLES",DOWDY,CHARLES,CHARLES DOWDY,97 98 99 100,H,MS,M,D,W,1943,"DOWDY, WAYNE",WAYNE DOWDY,D000466
"DOWNEY, THOMAS",DOWNEY,THOMAS,THOMAS DOWNEY,97 98 99 100 101 102,H,NY,M,D,W,1949,"DOWNEY, THOMAS J.",THOMAS DOWNEY,D000471
"DOYLE, MICHAEL",DOYLE,MICHAEL,MICHAEL DOYLE,104 105 106 107 108 109 110 111 112 113 114,H,PA,M,D,W,1953,"DOYLE, MICHAEL F.",MICHAEL DOYLE,D000482
"DRAKE, THELMA",DRAKE,THELMA,THELMA DRAKE,109 110,H,VA,F,R,W,1949,"DRAKE, THELMA D.",THELMA DRAKE,D000605
"DREIER, DAVID",DREIER,DAVID,DAVID DREIER,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112,H,CA,M,R,W,1952,"DREIER, DAVID",DAVID DREIER,D000492
"DRIEHAUS, STEVE",DRIEHAUS,STEVE,STEVE DRIEHAUS,111,H,OH,M,D,W,1966,"DRIEHAUS, STEVE",STEVE DRIEHAUS,D000609
"DUCKWORTH, TAMMY",DUCKWORTH,TAMMY,TAMMY DUCKWORTH,113 114,H,IL,F,D,AAPIA,1968,"DUCKWORTH, TAMMY",TAMMY DUCKWORTH,D000622
"DUFFY, SEAN",DUFFY,SEAN,SEAN DUFFY,112 113 114,H,WI,M,R,W,1971,"DUFFY, SEAN P.",SEAN DUFFY,D000614
"DUNCAN, JEFF",DUNCAN,JEFF,JEFF DUNCAN,112 113 114,H,SC,M,R,W,1966,"DUNCAN, JEFF",JEFF DUNCAN,D000615
"DUNCAN, JOHN",DUNCAN,JOHN,JOHN DUNCAN,97 98 99 100,H,TN,M,R,W,1919,"DUNCAN, JOHN J.",JOHN DUNCAN,D000534
"DUNCAN, JOHN J., JR.",DUNCAN,JOHN,JOHN DUNCAN,100 101 102 103 104 105 106 107 108 109 110 111 112 113 114,H,TN,M,R,W,1947,"DUNCAN, JOHN J., JR.",JOHN DUNCAN,D000533
"DUNN, JAMES",DUNN,JAMES,JAMES DUNN,97,H,MI,M,R,W,1943,"DUNN, JIM",JIM DUNN,D000548
"DUNN, JENNIFER",DUNN,JENNIFER,JENNIFER DUNN,103 104 105 106 107 108,H,WA,F,R,W,1941,"DUNN, JENNIFER",JENNIFER DUNN,D000549
"DURBIN, RICHARD",DURBIN,RICHARD,RICHARD DURBIN,98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114,H,IL,M,D,W,1944,"DURBIN, RICHARD J.",RICHARD DURBIN,D000563
"DURENBERGER, DAVID",DURENBERGER,DAVID,DAVID DURENBERGER,97 98 99 100 101 102 103,S,MN,M,R,W,1934,"DURENBERGER, DAVE",DAVE DURENBERGER,D000566
"DWYER, BERNARD",DWYER,BERNARD,BERNARD DWYER,97 98 99 100 101 102,H,NJ,M,D,W,1921,"DWYER, BERNARD J.",BERNARD DWYER,D000586
"DYMALLY, MERVYN",DYMALLY,MERVYN,MERVYN DYMALLY,97 98 99 100 101 102,H,CA,M,D,B/AAPIA,1926,"DYMALLY, MERVYN M.",MERVYN DYMALLY,D000592
"DYSON, ROYDEN",DYSON,ROYDEN,ROYDEN DYSON,97 98 99 100 101,H,MD,M,D,W,1948,"DYSON, ROY",ROY DYSON,D000593
"EAGLETON, THOMAS",EAGLETON,THOMAS,THOMAS EAGLETON,97 98 99,S,MO,M,D,W,1929,"EAGLETON, THOMAS F.",THOMAS EAGLETON,E000004
"EARLY, JOSEPH",EARLY,JOSEPH,JOSEPH EARLY,97 98 99 100 101 102,H,MA,M,D,W,1933,"EARLY, JOSEPH D.",JOSEPH EARLY,E000013
"EAST, JOHN",EAST,JOHN,JOHN EAST,97 98 99,S,NC,M,R,W,1931,"EAST, JOHN P.",JOHN EAST,E000017
"ECKART, DENNIS",ECKART,DENNIS,DENNIS ECKART,97 98 99 100 101 102,H,OH,M,D,W,1950,"ECKART, DENNIS E.",DENNIS ECKART,E000031
"ECKERT, FRED",ECKERT,FRED,FRED ECKERT,99,H,NY,M,R,W,1941,"ECKERT, FRED J.",FRED ECKERT,E000033
"EDGAR, ROBERT",EDGAR,ROBERT,ROBERT EDGAR,97 98 99,H,PA,M,D,W,1943,"EDGAR, ROBERT W.",ROBERT EDGAR,E000043
"EDWARDS, DONNA",EDWARDS,DONNA,DONNA EDWARDS,110 111 112 113 114,H,MD,F,D,B,1958,"EDWARDS, DONNA F.",DONNA EDWARDS,E000290
"EDWARDS, JOHN",EDWARDS,JOHN,JOHN EDWARDS,106 107 108,S,NC,M,D,W,1953,"EDWARDS, JOHN",JOHN EDWARDS,E000286
"EDWARDS, MARVIN",EDWARDS,MARVIN,MARVIN EDWARDS,97 98 99 100 101 102,H,OK,M,R,W,1937,"EDWARDS, MICKEY",MICKEY EDWARDS,E000077
"EDWARDS, THOMAS",EDWARDS,THOMAS,THOMAS EDWARDS,102 103 104 105 106 107 108 109 110 111,H,TX,M,D,W,1951,"EDWARDS, CHET",CHET EDWARDS,E000063
"EDWARDS, WILLIAM",EDWARDS,WILLIAM,WILLIAM EDWARDS,97 98 99 100 101 102 103,H,CA,M,D,W,1915,"EDWARDS, DON",DON EDWARDS,E000064
"EDWARDS, WILLIAM",EDWARDS,WILLIAM,WILLIAM EDWARDS,97 98,H,AL,M,R,W,1928,"EDWARDS, JACK",JACK EDWARDS,E000084
"EHLERS, VERNON",EHLERS,VERNON,VERNON EHLERS,103 104 105 106 107 108 109 110 111,H,MI,M,R,W,1934,"EHLERS, VERNON J.",VERNON EHLERS,E000092
"EHRLICH, ROBERT",EHRLICH,ROBERT,ROBERT EHRLICH,104 105 106 107,H,MD,M,R,W,1957,"EHRLICH, ROBERT L., JR.",ROBERT EHRLICH,E000093
"ELLISON, KEITH",ELLISON,KEITH,KEITH ELLISON,110 111 112 113 114,H,MN,M,D,B,1963,"ELLISON, KEITH",KEITH ELLISON,E000288
"ELLMERS, RENEE",ELLMERS,RENEE,RENEE ELLMERS,112 113 114,H,NC,F,R,W,1964,"ELLMERS, RENEE L.",RENEE ELLMERS,E000291
"ELLSWORTH, BRAD",ELLSWORTH,BRAD,BRAD ELLSWORTH,110 111,H,IN,M,D,W,1958,"ELLSWORTH, BRAD",BRAD ELLSWORTH,E000289
"EMANUEL, RAHM",EMANUEL,RAHM,RAHM EMANUEL,108 109 110,H,IL,M,D,W,1959,"EMANUEL, RAHM",RAHM EMANUEL,E000287
"EMERSON, JO ANN",EMERSON,JO ANN,JO ANN EMERSON,105 106 107 108 109 110 111 112,H,MO,F,R,W,1950,"EMERSON, JO ANN",JO EMERSON,E000172
"EMERSON, NORVELL",EMERSON,NORVELL,NORVELL EMERSON,97 98 99 100 101 102 103 104,H,MO,M,R,W,1938,"EMERSON, BILL",BILL EMERSON,E000174
"EMERY, DAVID",EMERY,DAVID,DAVID EMERY,97,H,ME,M,R,W,1948,"EMERY, DAVID F.",DAVID EMERY,E000175
"EMMER, TOM",EMMER,TOM,TOM EMMER,114,H,MN,M,R,W,1961,"EMMER, TOM",TOM EMMER,E000294
"ENGEL, ELIOT",ENGEL,ELIOT,ELIOT ENGEL,101 102 103 104 105 106 107 108 109 110 111 112 113 114,H,NY,M,D,W,1947,"ENGEL, ELIOT L.",ELIOT ENGEL,E000179
"ENGLISH, GLENN",ENGLISH,GLENN,GLENN ENGLISH,97 98 99 100 101 102 103,H,OK,M,D,W,1940,"ENGLISH, GLENN",GLENN ENGLISH,E000184
"ENGLISH, KARAN",ENGLISH,KARAN,KARAN ENGLISH,103,H,AZ,F,D,W,1949,"ENGLISH, KARAN",KARAN ENGLISH,E000186
"ENGLISH, PHILIP",ENGLISH,PHILIP,PHILIP ENGLISH,104 105 106 107 108 109 110,H,PA,M,R,W,1956,"ENGLISH, PHIL",PHIL ENGLISH,E000187
"ENSIGN, JOHN",ENSIGN,JOHN,JOHN ENSIGN,104 105 107 108 109 110 111 112,H,NV,M,R,AAPIA,1958,"ENSIGN, JOHN",JOHN ENSIGN,E000194
"ENYART, WILLIAM",ENYART,WILLIAM,WILLIAM ENYART,113,H,IL,M,D,W,1949,"ENYART, WILLIAM L.",WILLIAM ENYART,E000292
"ENZI, MICHAEL",ENZI,MICHAEL,MICHAEL ENZI,105 106 107 108 109 110 111 112 113 114,S,WY,M,R,W,1944,"ENZI, MICHAEL B.",MICHAEL ENZI,E000285
"ERDAHL, ARLEN",ERDAHL,ARLEN,ARLEN ERDAHL,97,H,MN,M,R,W,1931,"ERDAHL, ARLEN",ARLEN ERDAHL,E000198
"ERDREICH, BEN",ERDREICH,BEN,BEN ERDREICH,98 99 100 101 102,H,AL,M,D,W,1938,"ERDREICH, BEN",BEN ERDREICH,E000201
"ERLENBORN, JOHN",ERLENBORN,JOHN,JOHN ERLENBORN,97 98,H,IL,M,R,W,1927,"ERLENBORN, JOHN N.",JOHN ERLENBORN,E000204
"ERNST, JONI",ERNST,JONI,JONI ERNST,114,S,IA,F,R,W,1970,"ERNST, JONI",JONI ERNST,E000295
"ERTEL, ALLEN",ERTEL,ALLEN,ALLEN ERTEL,97,H,PA,M,D,W,1937,"ERTEL, ALLEN E.",ALLEN ERTEL,E000208
"ESHOO, ANNA",ESHOO,ANNA,ANNA ESHOO,103 104 105 106 107 108 109 110 111 112 113 114,H,CA,F,D,ME,1942,"ESHOO, ANNA G.",ANNA ESHOO,E000215
"ESPY, ALBERT",ESPY,ALBERT,ALBERT ESPY,100 101 102 103,H,MS,M,D,B,1953,"ESPY, MIKE",MIKE ESPY,E000218
"ESTY, ELIZABETH",ESTY,ELIZABETH,ELIZABETH ESTY,113 114,H,CT,F,D,W,1959,"ESTY, ELIZABETH H.",ELIZABETH ESTY,E000293
"ETHERIDGE, BOB",ETHERIDGE,BOB,BOB ETHERIDGE,105 106 107 108 109 110 111,H,NC,M,D,W,1941,"ETHERIDGE, BOB",BOB ETHERIDGE,E000226
"EVANS, BILLY",EVANS,BILLY,BILLY EVANS,97,H,GA,M,D,W,1941,"EVANS, BILLY LEE",BILLY EVANS,E000233
"EVANS, DANIEL",EVANS,DANIEL,DANIEL EVANS,98 99 100,S,WA,M,R,W,1925,"EVANS, DANIEL J.",DANIEL EVANS,E000236
"EVANS, DAVID",EVANS,DAVID,DAVID EVANS,97,H,IN,M,D,W,1946,"EVANS, DAVID W.",DAVID EVANS,E000239
"EVANS, LANE",EVANS,LANE,LANE EVANS,98 99 100 101 102 103 104 105 106 107 108 109,H,IL,M,D,W,1951,"EVANS, LANE",LANE EVANS,E000250
"EVANS, THOMAS",EVANS,THOMAS,THOMAS EVANS,97,H,DE,M,R,W,1931,"EVANS, THOMAS B., JR.",THOMAS EVANS,E000258
"EVANS, THOMAS",EVANS,THOMAS,THOMAS EVANS,97 98 99,H,IA,M,R,W,1924,"EVANS, COOPER",COOPER EVANS,E000259
"EVERETT, TERRY",EVERETT,TERRY,TERRY EVERETT,103 104 105 106 107 108 109 110,H,AL,M,R,W,1937,"EVERETT, TERRY",TERRY EVERETT,E000268
"EWING, THOMAS",EWING,THOMAS,THOMAS EWING,102 103 104 105 106,H,IL,M,R,W,1935,"EWING, THOMAS W.",THOMAS EWING,E000282
"EXON, J.",EXON,J.,J. EXON,97 98 99 100 101 102 103 104,S,NE,M,D,W,1921,"EXON, J. JAMES",J. EXON,E000284
"FAIRCLOTH, DUNCAN",FAIRCLOTH,DUNCAN,DUNCAN FAIRCLOTH,103 104 105,S,NC,M,R,W,1928,"FAIRCLOTH, LAUCH",LAUCH FAIRCLOTH,F000437
"FALEOMAVAEGA, ENI",FALEOMAVAEGA,ENI,ENI FALEOMAVAEGA,101 102 103 104 105 106 107 108 109 110 111 112 113,H,AS,M,D,AAPIA,1943,"FALEOMAVAEGA, ENI F. H.",ENI FALEOMAVAEGA,F000010
"FALLIN, MARY",FALLIN,MARY,MARY FALLIN,110 111,H,OK,F,R,W,1954,"FALLIN, MARY",MARY FALLIN,F000453
"FARENTHOLD, BLAKE",FARENTHOLD,BLAKE,BLAKE FARENTHOLD,112 113 114,H,TX,M,R,W,1961,"FARENTHOLD, BLAKE",BLAKE FARENTHOLD,F000460
"FARR, SAM",FARR,SAM,SAM FARR,103 104 105 106 107 108 109 110 111 112 113 114,H,CA,M,D,W,1941,"FARR, SAM",SAM FARR,F000030
"FARY, JOHN",FARY,JOHN,JOHN FARY,97,H,IL,M,D,W,1911,"FARY, JOHN G.",JOHN FARY,F000040
"FASCELL, DANTE",FASCELL,DANTE,DANTE FASCELL,97 98 99 100 101 102,H,FL,M,D,W,1917,"FASCELL, DANTE B.",DANTE FASCELL,F000041
"FATTAH, CHAKA",FATTAH,CHAKA,CHAKA FATTAH,104 105 106 107 108 109 110 111 112 113 114,H,PA,M,D,B,1956,"FATTAH, CHAKA",CHAKA FATTAH,F000043
"FAUNTROY, WALTER",FAUNTROY,WALTER,WALTER FAUNTROY,97 98 99 100 101,H,DC,M,D,B,1933,"FAUNTROY, WALTER E.",WALTER FAUNTROY,F000046
"FAWELL, HARRIS",FAWELL,HARRIS,HARRIS FAWELL,99 100 101 102 103 104 105,H,IL,M,R,W,1929,"FAWELL, HARRIS W.",HARRIS FAWELL,F000049
"FAZIO, VICTOR",FAZIO,VICTOR,VICTOR FAZIO,97 98 99 100 101 102 103 104 105,H,CA,M,D,W,1942,"FAZIO, VIC",VIC FAZIO,F000053
"FEENEY, TOM",FEENEY,TOM,TOM FEENEY,108 109 110,H,FL,M,R,W,1958,"FEENEY, TOM",TOM FEENEY,F000447
"FEIGHAN, EDWARD",FEIGHAN,EDWARD,EDWARD FEIGHAN,98 99 100 101 102,H,OH,M,D,W,1947,"FEIGHAN, EDWARD F.",EDWARD FEIGHAN,F000059
"FEINGOLD, RUSSELL",FEINGOLD,RUSSELL,RUSSELL FEINGOLD,103 104 105 106 107 108 109 110 111,S,WI,M,D,W,1953,"FEINGOLD, RUSSELL D.",RUSSELL FEINGOLD,F000061
"FEINSTEIN, DIANNE",FEINSTEIN,DIANNE,DIANNE FEINSTEIN,103 104 105 106 107 108 109 110 111 112 113 114,S,CA,F,D,W,1933,"FEINSTEIN, DIANNE",DIANNE FEINSTEIN,F000062
"FENWICK, MILLICENT",FENWICK,MILLICENT,MILLICENT FENWICK,97,H,NJ,F,R,W,1910,"FENWICK, MILLICENT H.",MILLICENT FENWICK,F000078
"FERGUSON, MICHAEL",FERGUSON,MICHAEL,MICHAEL FERGUSON,107 108 109 110,H,NJ,M,R,W,1970,"FERGUSON, MIKE",MIKE FERGUSON,F000443
"FERRARO, GERALDINE",FERRARO,GERALDINE,GERALDINE FERRARO,97 98,H,NY,F,D,W,1935,"FERRARO, GERALDINE A.",GERALDINE FERRARO,F000088
