Full Name,First Name,Last Name,First Last,List of Congresses,Chamber,State,Gender,Party,Ethnicity,BirthYear,Congress Name,Alternative name (Wikipedia),Congress ID
"LAFALCE, JOHN",LAFALCE,JOHN,JOHN LAFALCE,97 98 99 100 101 102 103 104 105 106 107,H,NY,M,D,W,1939,"LAFALCE, JOHN J.",JOHN LAFALCE,L000556
"LAGOMARSINO, ROBERT",LAGOMARSINO,ROBERT,ROBERT LAGOMARSINO,97 98 99 100 101 102,H,CA,M,R,W,1926,"LAGOMARSINO, ROBERT J.",ROBERT LAGOMARSINO,L000020
"LAHOOD, DARIN",LAHOOD,DARIN,DARIN LAHOOD,114,H,IL,M,R,W,1968,"LAHOOD, DARIN",DARIN LAHOOD,L000585
"LAHOOD, RAY",LAHOOD,RAY,RAY LAHOOD,104 105 106 107 108 109 110,H,IL,M,R,W,1945,"LAHOOD, RAY",RAY LAHOOD,L000552
"LAMALFA, DOUG",LAMALFA,DOUG,DOUG LAMALFA,113 114,H,CA,M,R,W,1960,"LAMALFA, DOUG",DOUG LAMALFA,L000578
"LAMBORN, DOUG",LAMBORN,DOUG,DOUG LAMBORN,110 111 112 113 114,H,CO,M,R,W,1954,"LAMBORN, DOUG",DOUG LAMBORN,L000564
"LAMPSON, NICHOLAS",LAMPSON,NICHOLAS,NICHOLAS LAMPSON,105 106 107 108 110,H,TX,M,D,W,1945,"LAMPSON, NICK",NICK LAMPSON,L000043
"LANCASTER, H.",LANCASTER,H.,H. LANCASTER,100 101 102 103,H,NC,M,D,W,1943,"LANCASTER, H. MARTIN",H. LANCASTER,L000045
"LANCE, LEONARD",LANCE,LEONARD,LEONARD LANCE,111 112 113 114,H,NJ,M,R,W,1952,"LANCE, LEONARD",LEONARD LANCE,L000567
"LANDRIEU, MARY",LANDRIEU,MARY,MARY LANDRIEU,105 106 107 108 109 110 111 112 113,S,LA,F,D,W,1955,"LANDRIEU, MARY L.",MARY LANDRIEU,L000550
"LANDRY, JEFF",LANDRY,JEFF,JEFF LANDRY,112,H,LA,M,R,W,1970,"LANDRY, JEFFREY M.",JEFFREY LANDRY,L000574
"LANGEVIN, JAMES",LANGEVIN,JAMES,JAMES LANGEVIN,107 108 109 110 111 112 113 114,H,RI,M,D,W,1964,"LANGEVIN, JAMES R.",JAMES LANGEVIN,L000559
"LANKFORD, JAMES",LANKFORD,JAMES,JAMES LANKFORD,112 113 114,H,OK,M,R,W,1968,"LANKFORD, JAMES",JAMES LANKFORD,L000575
"LANTOS, TOM",LANTOS,TOM,TOM LANTOS,97 98 99 100 101 102 103 104 105 106 107 108 109 110,H,CA,M,D,W,1928,"LANTOS, TOM",TOM LANTOS,L000090
"LARGENT, STEVE",LARGENT,STEVE,STEVE LARGENT,103 104 105 106 107,H,OK,M,R,W,1954,"LARGENT, STEVE",STEVE LARGENT,L000096
"LAROCCO, LARRY",LAROCCO,LARRY,LARRY LAROCCO,102 103,H,ID,M,D,W,1946,"LAROCCO, LARRY",LARRY LAROCCO,L000098
"LARSEN, RICK",LARSEN,RICK,RICK LARSEN,107 108 109 110 111 112 113 114,H,WA,M,D,W,1965,"LARSEN, RICK",RICK LARSEN,L000560
"LARSON, JOHN",LARSON,JOHN,JOHN LARSON,106 107 108 109 110 111 112 113 114,H,CT,M,D,W,1948,"LARSON, JOHN B.",JOHN LARSON,L000557
"LATHAM, TOM",LATHAM,TOM,TOM LATHAM,104 105 106 107 108 109 110 111 112 113,H,IA,M,R,W,1948,"LATHAM, TOM",TOM LATHAM,L000111
"LATOURETTE, STEVEN",LATOURETTE,STEVEN,STEVEN LATOURETTE,104 105 106 107 108 109 110 111 112,H,OH,M,R,W,1954,"LATOURETTE, STEVEN C.",STEVEN LATOURETTE,L000553
"LATTA, DELBERT",LATTA,DELBERT,DELBERT LATTA,97 98 99 100,H,OH,M,R,W,1920,"LATTA, DELBERT L.",DELBERT LATTA,L000116
"LATTA, ROBERT",LATTA,ROBERT,ROBERT LATTA,110 111 112 113 114,H,OH,M,R,W,1956,"LATTA, ROBERT E.",ROBERT LATTA,L000566
"LAUGHLIN, GREGORY",LAUGHLIN,GREGORY,GREGORY LAUGHLIN,101 102 103 104,H,TX,M,D,W,1942,"LAUGHLIN, GREG",GREG LAUGHLIN,L000119
"LAUTENBERG, FRANK",LAUTENBERG,FRANK,FRANK LAUTENBERG,98 99 100 101 102 103 104 105 106 108 109 110 111 112 113,S,NJ,M,D,W,1924,"LAUTENBERG, FRANK R.",FRANK LAUTENBERG,L000123
"LAWRENCE, BRENDA",LAWRENCE,BRENDA,BRENDA LAWRENCE,114,H,MI,F,D,B,1954,"LAWRENCE, BRENDA L.",BRENDA LAWRENCE,L000581
"LAXALT, PAUL",LAXALT,PAUL,PAUL LAXALT,97 98 99,S,NV,M,R,W,1922,"LAXALT, PAUL D.",PAUL LAXALT,L000148
"LAZIO, RICK",LAZIO,RICK,RICK LAZIO,103 104 105 106,H,NY,M,R,W,1958,"LAZIO, RICK",RICK LAZIO,L000155
"LEACH, JAMES",LEACH,JAMES,JAMES LEACH,97 98 99 100 101 102 103 104 105 106 107 108 109,H,IA,M,R,W,1942,"LEACH, JAMES A.",JAMES LEACH,L000169
"LEAHY, PATRICK",LEAHY,PATRICK,PATRICK LEAHY,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114,S,VT,M,D,W,1940,"LEAHY, PATRICK J.",PATRICK LEAHY,L000174
"LEATH, JAMES",LEATH,JAMES,JAMES LEATH,97 98 99 100 101,H,TX,M,D,W,1931,"LEATH, MARVIN",MARVIN LEATH,L000180
"LEBOUTILLIER, JOHN",LEBOUTILLIER,JOHN,JOHN LEBOUTILLIER,97,H,NY,M,R,W,1953,"LEBOUTILLIER, JOHN",JOHN LEBOUTILLIER,L000547
"LEE, BARBARA",LEE,BARBARA,BARBARA LEE,105 106 107 108 109 110 111 113 114,H,CA,F,D,B,1946,"LEE, BARBARA",BARBARA LEE,L000551
"LEE, CHRISTOPHER",LEE,CHRISTOPHER,CHRISTOPHER LEE,111,H,NY,M,R,W,1964,"LEE, CHRISTOPHER J.",CHRISTOPHER LEE,L000568
"LEE, GARY",LEE,GARY,GARY LEE,97,H,NY,M,R,W,1933,"LEE, GARY A.",GARY LEE,L000192
"LEE, MIKE",LEE,MIKE,MIKE LEE,113 114,S,UT,M,R,W,1971,"LEE, MIKE",MIKE LEE,L000577
"LEHMAN, RICHARD",LEHMAN,RICHARD,RICHARD LEHMAN,98 99 100 101 102 103,H,CA,M,D,W,1948,"LEHMAN, RICHARD H.",RICHARD LEHMAN,L000225
"LEHMAN, WILLIAM",LEHMAN,WILLIAM,WILLIAM LEHMAN,97 98 99 100 101 102,H,FL,M,D,W,1913,"LEHMAN, WILLIAM",WILLIAM LEHMAN,L000226
"LELAND, GEORGE",LELAND,GEORGE,GEORGE LELAND,97 98 99 100 101,H,TX,M,D,B,1944,"LELAND, MICKEY",MICKEY LELAND,L000237
"LEMIEUX, GEORGE",LEMIEUX,GEORGE,GEORGE LEMIEUX,111,S,FL,M,R,W,1969,"LEMIEUX, GEORGE S.",GEORGE LEMIEUX,L000572
"LENT, NORMAN",LENT,NORMAN,NORMAN LENT,97 98 99 100 101 102,H,NY,M,R,W,1931,"LENT, NORMAN F.",NORMAN LENT,L000243
"LEVIN, CARL",LEVIN,CARL,CARL LEVIN,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113,S,MI,M,D,W,1934,"LEVIN, CARL",CARL LEVIN,L000261
"LEVIN, SANDER",LEVIN,SANDER,SANDER LEVIN,98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114,H,MI,M,D,W,1931,"LEVIN, SANDER M.",SANDER LEVIN,L000263
"LEVINE, MELDON",LEVINE,MELDON,MELDON LEVINE,98 99 100 101 102,H,CA,M,D,W,1943,"LEVINE, MEL",MEL LEVINE,L000264
"LEVITAS, ELLIOTT",LEVITAS,ELLIOTT,ELLIOTT LEVITAS,97 98,H,GA,M,D,W,1930,"LEVITAS, ELLIOTT H.",ELLIOTT LEVITAS,L000265
"LEVY, DAVID",LEVY,DAVID,DAVID LEVY,103,H,NY,M,R,W,1953,"LEVY, DAVID A.",DAVID LEVY,L000267
"LEWIS, JERRY",LEWIS,JERRY,JERRY LEWIS,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112,H,CA,M,R,W,1934,"LEWIS, JERRY",JERRY LEWIS,L000274
"LEWIS, JOHN",LEWIS,JOHN,JOHN LEWIS,100 101 102 103 104 105 106 107 108 109 110 111 112 113 114,H,GA,M,D,B,1940,"LEWIS, JOHN",JOHN LEWI,L000287
"LEWIS, RON",LEWIS,RON,RON LEWIS,103 104 105 106 107 108 109 110,H,KY,M,R,W,1946,"LEWIS, RON",RON LEWIS,L000293
"LEWIS, THOMAS",LEWIS,THOMAS,THOMAS LEWIS,98 99 100 101 102 103,H,FL,M,R,W,1924,"LEWIS, THOMAS F.",THOMAS LEWIS,L000295
"LIEBERMAN, JOSEPH",LIEBERMAN,JOSEPH,JOSEPH LIEBERMAN,101 102 103 104 105 106 107 108 109 110 111 112,S,CT,M,D,W,1942,"LIEBERMAN, JOSEPH I.",JOSEPH LIEBERMAN,L000304
"LIEU, TED",LIEU,TED,TED LIEU,114,H,CA,M,D,AAPIA,1969,"LIEU, TED",TED LIEU,L000582
"LIGHTFOOT, JAMES",LIGHTFOOT,JAMES,JAMES LIGHTFOOT,99 100 101 102 103 104,H,IA,M,R,W,1938,"LIGHTFOOT, JIM",JIM LIGHTFOOT,L000305
"LINCOLN, BLANCHE",LINCOLN,BLANCHE,BLANCHE LINCOLN,104 106 107 108 109 110 111,H,AR,F,D,W,1960,"LINCOLN, BLANCHE L.",BLANCHE LINCOLN,L000035
"LINDER, JOHN",LINDER,JOHN,JOHN LINDER,103 104 105 106 107 108 109 110 111,H,GA,M,R,W,1942,"LINDER, JOHN",JOHN LINDER,L000321
"LIPINSKI, DANIEL",LIPINSKI,DANIEL,DANIEL LIPINSKI,109 110 111 112 113 114,H,IL,M,D,W,1966,"LIPINSKI, DANIEL",DANIEL LIPINSKI,L000563
"LIPINSKI, WILLIAM",LIPINSKI,WILLIAM,WILLIAM LIPINSKI,98 99 100 101 102 103 104 105 106 107 108,H,IL,M,D,W,1937,"LIPINSKI, WILLIAM O.",WILLIAM LIPINSKI,L000342
"LIVINGSTON, ROBERT",LIVINGSTON,ROBERT,ROBERT LIVINGSTON,97 98 99 100 101 102 103 104 105 106,H,LA,M,R,W,1943,"LIVINGSTON, BOB",BOB LIVINGSTON,L000371
"LLOYD, MARILYN",LLOYD,MARILYN,MARILYN LLOYD,98 99 100 101 102 103,H,TN,F,D,W,1929,"LLOYD, MARILYN",MARILYN LLOYD,L000381
"LOBIONDO, FRANK",LOBIONDO,FRANK,FRANK LOBIONDO,104 105 106 107 108 109 110 111 112 113 114,H,NJ,M,R,W,1946,"LOBIONDO, FRANK A.",FRANK LOBIONDO,L000554
"LOEBSACK, DAVID",LOEBSACK,DAVID,DAVID LOEBSACK,110 111 112 113 114,H,IA,M,D,W,1952,"LOEBSACK, DAVID",DAVID LOEBSACK,L000565
"LOEFFLER, THOMAS",LOEFFLER,THOMAS,THOMAS LOEFFLER,97 98 99,H,TX,M,R,W,1946,"LOEFFLER, TOM",TOM LOEFFLER,L000396
"LOFGREN, ZOE",LOFGREN,ZOE,ZOE LOFGREN,104 105 106 107 108 109 110 111 112 113 114,H,CA,F,D,W,1947,"LOFGREN, ZOE",ZOE LOFGREN,L000397
"LONG THOMPSON, JILL",LONG THOMPSON,JILL,JILL LONG THOMPSON,101 102,H,IN,F,D,W,1952,"LONG, JILL L.",JILL LONG,L000420
"LONG, BILLY",LONG,BILLY,BILLY LONG,112 113 114,H,MO,M,R,W,1955,"LONG, BILLY",BILLY LONG,L000576
"LONG, CATHERINE",LONG,CATHERINE,CATHERINE LONG,99,H,LA,F,D,W,1924,"LONG, CATHY (MRS. GILLIS)",CATHY LONG,L000411
"LONG, CLARENCE",LONG,CLARENCE,CLARENCE LONG,97 98,H,MD,M,D,W,1908,"LONG, CLARENCE D.",CLARENCE LONG,L000413
"LONG, GILLIS",LONG,GILLIS,GILLIS LONG,97 98 99,H,LA,M,D,W,1923,"LONG, GILLIS W.",GILLIS LONG,L000417
"LONG, RUSSELL",LONG,RUSSELL,RUSSELL LONG,97 98 99,S,LA,M,D,W,1918,"LONG, RUSSELL B.",RUSSELL LONG,L000428
"LONGLEY, JAMES",LONGLEY,JAMES,JAMES LONGLEY,104,H,ME,M,R,W,1951,"LONGLEY, JAMES B., JR.",JAMES LONGLEY,L000431
"LOTT, TRENT",LOTT,TRENT,TRENT LOTT,97 98 99 100 101 102 103 104 105 106 107 108 109 110,H,MS,M,R,W,1941,"LOTT, TRENT",TRENT LOTT,L000447
"LOUDERMILK, BARRY",LOUDERMILK,BARRY,BARRY LOUDERMILK,114,H,GA,M,R,W,1963,"LOUDERMILK, BARRY",BARRY LOUDERMILK,L000583
"LOVE, MIA",LOVE,MIA,MIA LOVE,114,H,UT,F,R,B,1975,"LOVE, MIA B.",MIA LOVE,L000584
"LOWENTHAL, ALAN",LOWENTHAL,ALAN,ALAN LOWENTHAL,113 114,H,CA,M,D,W,1941,"LOWENTHAL, ALAN S.",ALAN LOWENTHAL,L000579
"LOWERY, WILLIAM",LOWERY,WILLIAM,WILLIAM LOWERY,97 98 99 100 101 102,H,CA,M,R,W,1947,"LOWERY, BILL",BILL LOWERY,L000479
"LOWEY, NITA",LOWEY,NITA,NITA LOWEY,101 102 103 104 105 106 107 108 109 110 111 112 113 114,H,NY,F,D,W,1937,"LOWEY, NITA M.",NITA LOWEY,L000480
"LOWRY, MICHAEL",LOWRY,MICHAEL,MICHAEL LOWRY,97 98 99 100,H,WA,M,D,W,1939,"LOWRY, MIKE",MIKE LOWRY,L000486
"LUCAS, FRANK",LUCAS,FRANK,FRANK LUCAS,103 104 105 106 107 108 109 110 111 112 113 114,H,OK,M,R,W,1960,"LUCAS, FRANK D.",FRANK LUCAS,L000491
"LUCAS, KENNETH",LUCAS,KENNETH,KENNETH LUCAS,106 107 108,H,KY,M,D,W,1933,"LUCAS, KEN",KEN LUCAS,L000558
"LUETKEMEYER, BLAINE",LUETKEMEYER,BLAINE,BLAINE LUETKEMEYER,111 112 113 114,H,MO,M,R,W,1952,"LUETKEMEYER, BLAINE",BLAINE LUETKEMEYER,L000569
"LUGAR, RICHARD",LUGAR,RICHARD,RICHARD LUGAR,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112,S,IN,M,R,W,1932,"LUGAR, RICHARD G.",RICHARD LUGAR,L000504
"LUJAN GRISHAM, MICHELLE",LUJAN GRISHAM,MICHELLE,MICHELLE LUJAN GRISHAM,113 114,H,NM,F,D,H,1959,"LUJAN GRISHAM, MICHELLE",MICHELLE LUJAN GRISHAM,L000580
"LUJAN, BEN",LUJAN,BEN,BEN LUJAN,111 112 113 114,H,NM,M,D,H,1972,"LUJAN, BEN RAY",BEN RAY LUJÁN,L000570
"LUJAN, MANUEL",LUJAN,MANUEL,MANUEL LUJAN,97 98 99 100,H,NM,M,R,H,1928,"LUJAN, MANUEL, JR.",MANUEL ,L000506
"LUKEN, CHARLES",LUKEN,CHARLES,CHARLES LUKEN,102,H,OH,M,D,W,1951,"LUKEN, CHARLES",CHARLES LUKEN,L000507
"LUKEN, THOMAS",LUKEN,THOMAS,THOMAS LUKEN,97 98 99 100 101,H,OH,M,D,W,1925,"LUKEN, THOMAS A.",THOMAS LUKEN,L000508
"LUKENS, DONALD",LUKENS,DONALD,DONALD LUKENS,100 101,H,OH,M,R,W,1931,"LUKENS, DONALD E.",DONALD LUKENS,L000509
"LUMMIS, CYNTHIA",LUMMIS,CYNTHIA,CYNTHIA LUMMIS,111 112 113 114,H,WY,F,R,W,1954,"LUMMIS, CYNTHIA M.",CYNTHIA LUMMIS,L000571
"LUNDINE, STANLEY",LUNDINE,STANLEY,STANLEY LUNDINE,97 98 99,H,NY,M,D,W,1939,"LUNDINE, STANLEY N.",STANLEY LUNDINE,L000516
"LUNGREN, DANIEL",LUNGREN,DANIEL,DANIEL LUNGREN,97 98 99 100 109 110 111 112,H,CA,M,R,W,1946,"LUNGREN, DANIEL E.",DANIEL LUNGREN,L000517
"LUTHER, WILLIAM",LUTHER,WILLIAM,WILLIAM LUTHER,104 105 106 107,H,MN,M,D,W,1945,"LUTHER, BILL",BILL LUTHER,L000521
"LYNCH, STEPHEN",LYNCH,STEPHEN,STEPHEN LYNCH,107 108 109 110 111 112 113 114,H,MA,M,D,W,1955,"LYNCH, STEPHEN F.",STEPHEN LYNCH,L000562
"MACARTHUR, TOM",MACARTHUR,TOM,TOM MACARTHUR,114,H,NJ,M,R,W,1960,"MACARTHUR, THOMAS",THOMAS MACARTHUR,M001193
"MACHTLEY, RONALD",MACHTLEY,RONALD,RONALD MACHTLEY,101 102 103,H,RI,M,R,W,1948,"MACHTLEY, RONALD K.",RONALD MACHTLEY,M000015
"MACK, CONNIE, III",MACK,CONNIE,CONNIE MACK,98 99 100 101 102 103 104 105 106,H,FL,M,R,W,1940,"MACK, CONNIE, III",CONNIE MACK,M000019
"MACK, CONNIE",MACK,CONNIE,CONNIE MACK,109 110 111 112,H,FL,M,R,W,1967,"MACK, CONNIE",CONNIE MACK,M001155
"MACKAY, KENNETH",MACKAY,KENNETH,KENNETH MACKAY,98 99 100,H,FL,M,D,W,1933,"MACKAY, BUDDY",BUDDY MACKAY,M000023
"MADIGAN, EDWARD",MADIGAN,EDWARD,EDWARD MADIGAN,97 98 99 100 101 102,H,IL,M,R,W,1936,"MADIGAN, EDWARD R.",EDWARD MADIGAN,M000041
"MAFFEI, DANIEL",MAFFEI,DANIEL,DANIEL MAFFEI,111 113,H,NY,M,D,W,1968,"MAFFEI, DANIEL B.",DANIEL MAFFEI,M001171
"MAHONEY, TIM",MAHONEY,TIM,TIM MAHONEY,110,H,FL,M,D,W,1956,"MAHONEY, TIM",TIM MAHONEY,M001164
"MAJETTE, DENISE",MAJETTE,DENISE,DENISE MAJETTE,108,H,GA,F,D,B,1955,"MAJETTE, DENISE L.",DENISE MAJETTE,M001145
"MALONEY, CAROLYN",MALONEY,CAROLYN,CAROLYN MALONEY,103 104 105 106 107 108 109 110 111 112 113 114,H,NY,F,D,W,1946,"MALONEY, CAROLYN B.",CAROLYN MALONEY,M000087
"MALONEY, JAMES",MALONEY,JAMES,JAMES MALONEY,105 106 107,H,CT,M,D,W,1948,"MALONEY, JAMES H.",JAMES MALONEY,M000090
"MALONEY, SEAN",MALONEY,SEAN,SEAN MALONEY,113 114,H,NY,M,D,W,1966,"MALONEY, SEAN PATRICK",SEAN MALONEY,M001185
"MANCHIN, JOE",MANCHIN,JOE,JOE MANCHIN,111 112 113 114,S,WV,M,D,W,1947,"MANCHIN, JOE, III",JOE MANCHIN,M001183
"MANN, DAVID",MANN,DAVID,DAVID MANN,103,H,OH,M,D,W,1939,"MANN, DAVID",DAVID MANN,M000100
"MANTON, THOMAS",MANTON,THOMAS,THOMAS MANTON,99 100 101 102 103 104 105,H,NY,M,D,W,1932,"MANTON, THOMAS J.",THOMAS MANTON,M000117
"MANZULLO, DONALD",MANZULLO,DONALD,DONALD MANZULLO,103 104 105 106 107 108 109 110 111 112,H,IL,M,R,W,1944,"MANZULLO, DONALD A.",DONALD MANZULLO,M001138
"MARCHANT, KENNY",MARCHANT,KENNY,KENNY MARCHANT,109 110 111 112 113 114,H,TX,M,R,W,1951,"MARCHANT, KENNY",KENNY MARCHANT,M001158
"MARGOLIES-MEZVINSKY, MARJORIE",MARGOLIES-MEZVINSKY,MARJORIE,MARJORIE MARGOLIES-MEZVINSKY,103,H,PA,F,D,W,1942,"MARGOLIES-MEZVINSKY, MARJORIE",MARJORIE MARGOLIES-MEZVINSKY,M000129
"MARINO, TOM",MARINO,TOM,TOM MARINO,112 113 114,H,PA,M,R,W,1952,"MARINO, TOM",TOM MARINO,M001179
"MARKEY, BETSY",MARKEY,BETSY,BETSY MARKEY,111,H,CO,F,D,W,1956,"MARKEY, BETSY",BETSY MARKEY,M001172
"MARKEY, EDWARD",MARKEY,EDWARD,EDWARD MARKEY,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114,H,MA,M,D,W,1946,"MARKEY, EDWARD J.",EDWARD MARKEY,M000133
"MARKS, MARC",MARKS,MARC,MARC MARKS,97,H,PA,M,R,W,1927,"MARKS, MARC L.",MARC MARKS,M000136
"MARLENEE, RONALD",MARLENEE,RONALD,RONALD MARLENEE,97 98 99 100 101 102,H,MT,M,R,W,1935,"MARLENEE, RON",RON MARLENEE,M000139
"MARRIOTT, DAVID",MARRIOTT,DAVID,DAVID MARRIOTT,97 98,H,UT,M,R,W,1939,"MARRIOTT, DAVID DANIEL",DAVID MARRIOTT,M000143
"MARSHALL, JAMES",MARSHALL,JAMES,JAMES MARSHALL,108 109 110 111,H,GA,M,D,W,1948,"MARSHALL, JIM",JIM MARSHALL,M001146
"MARTIN, DAVID",MARTIN,DAVID,DAVID MARTIN,97 98 99 100 101 102,H,NY,M,R,W,1944,"MARTIN, DAVID O'B.",DAVID MARTIN,M000174
"MARTIN, JAMES",MARTIN,JAMES,JAMES MARTIN,97 98,H,NC,M,R,W,1935,"MARTIN, JAMES G.",JAMES MARTIN,M000183
"MARTIN, LYNN",MARTIN,LYNN,LYNN MARTIN,97 98 99 100 101,H,IL,F,R,W,1939,"MARTIN, LYNN M.",LYNN MARTIN,M000195
"MARTINEZ, MATTHEW",MARTINEZ,MATTHEW,MATTHEW MARTINEZ,97 98 99 100 101 102 103 104 105 106,H,CA,M,D,H,1929,"MARTINEZ, MATTHEW G.",MATTHEW MARTÍNEZ,M000206
"MARTINEZ, MEL",MARTINEZ,MEL,MEL MARTINEZ,109 110 111,S,FL,M,R,H,1946,"MARTINEZ, MEL",MEL MARTÍNEZ,M001162
"MARTINI, WILLIAM",MARTINI,WILLIAM,WILLIAM MARTINI,104,H,NJ,M,R,W,1947,"MARTINI, WILLIAM J.",WILLIAM MARTINI,M000207
"MASCARA, FRANK",MASCARA,FRANK,FRANK MASCARA,104 105 106 107,H,PA,M,D,W,1930,"MASCARA, FRANK",FRANK MASCARA,M000212
"MASSA, ERIC",MASSA,ERIC,ERIC MASSA,111,H,NY,M,D,W,1959,"MASSA, ERIC J. J.",ERIC MASSA,M001173
"MASSIE, THOMAS",MASSIE,THOMAS,THOMAS MASSIE,112 113 114,H,KY,M,R,W,1971,"MASSIE, THOMAS",THOMAS MASSIE,M001184
"MATHESON, JIM",MATHESON,JIM,JIM MATHESON,107 108 109 110 111 112 113,H,UT,M,D,W,1960,"MATHESON, JIM",JIM MATHESON,M001142
"MATHEWS, HARLAN",MATHEWS,HARLAN,HARLAN MATHEWS,103,S,TN,M,D,W,1927,"MATHEWS, HARLAN",HARLAN MATHEWS,M000236
"MATHIAS, CHARLES",MATHIAS,CHARLES,CHARLES MATHIAS,97 98 99,S,MD,M,R,W,1922,"MATHIAS, CHARLES MCC., JR.",CHARLES MATHIAS,M000241
"MATSUI, DORIS",MATSUI,DORIS,DORIS MATSUI,109 110 111 112 113 114,H,CA,F,D,AAPIA,1944,"MATSUI, DORIS O.",DORIS MATSUI,M001163
"MATSUI, ROBERT",MATSUI,ROBERT,ROBERT MATSUI,97 98 99 100 101 102 103 104 105 106 107 108,H,CA,M,D,AAPIA,1941,"MATSUI, ROBERT T.",BOB MATSUI,M000249
"MATSUNAGA, SPARK",MATSUNAGA,SPARK,SPARK MATSUNAGA,97 98 99 100 101,S,HI,M,D,AAPIA,1916,"MATSUNAGA, SPARK M.",SPARK MATSUNAGA,M000250
"MATTINGLY, MACK",MATTINGLY,MACK,MACK MATTINGLY,97 98 99,S,GA,M,R,W,1931,"MATTINGLY, MACK",MACK MATTINGLY,M000257
"MATTOX, JAMES",MATTOX,JAMES,JAMES MATTOX,97,H,TX,M,D,W,1943,"MATTOX, JAMES A.",JAMES MATTOX,M000260
"MAVROULES, NICHOLAS",MAVROULES,NICHOLAS,NICHOLAS MAVROULES,97 98 99 100 101 102,H,MA,M,D,W,1929,"MAVROULES, NICHOLAS",NICHOLAS MAVROULES,M000264
"MAZZOLI, ROMANO",MAZZOLI,ROMANO,ROMANO MAZZOLI,97 98 99 100 101 102 103,H,KY,M,D,W,1932,"MAZZOLI, ROMANO L.",ROMANO MAZZOLI,M000291
"MCALLISTER, VANCE",MCALLISTER,VANCE,VANCE MCALLISTER,113,H,LA,M,R,W,1974,"MCALLISTER, VANCE M.",VANCE MCALLISTER,M001192
"MCCAIN, JOHN",MCCAIN,JOHN,JOHN MCCAIN,98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114,H,AZ,M,R,W,1936,"MCCAIN, JOHN",JOHN MCCAIN,M000303
"MCCANDLESS, ALFRED",MCCANDLESS,ALFRED,ALFRED MCCANDLESS,98 99 100 101 102 103,H,CA,M,R,W,1927,"MCCANDLESS, ALFRED A. (AL)",ALFRED MCCANDLESS,M000306
"MCCARTHY, CAROLYN",MCCARTHY,CAROLYN,CAROLYN MCCARTHY,105 106 107 108 109 110 111 112 113,H,NY,F,D,W,1944,"MCCARTHY, CAROLYN",CAROLYN MCCARTHY,M000309
"MCCARTHY, KAREN",MCCARTHY,KAREN,KAREN MCCARTHY,104 105 106 107 108,H,MO,F,D,W,1947,"MCCARTHY, KAREN",KAREN MCCARTHY,M000316
"MCCARTHY, KEVIN",MCCARTHY,KEVIN,KEVIN MCCARTHY,110 111 112 113 114,H,CA,M,R,W,1965,"MCCARTHY, KEVIN",KEVIN MCCARTHY,M001165
"MCCASKILL, CLAIRE",MCCASKILL,CLAIRE,CLAIRE MCCASKILL,110 111 112 113 114,S,MO,F,D,W,1953,"MCCASKILL, CLAIRE",CLAIRE MCCASKILL,M001170
"MCCAUL, MICHAEL",MCCAUL,MICHAEL,MICHAEL MCCAUL,109 110 111 112 113 114,H,TX,M,R,W,1962,"MCCAUL, MICHAEL T.",MICHAEL MCCAUL,M001157
"MCCLINTOCK, TOM",MCCLINTOCK,TOM,TOM MCCLINTOCK,111 112 113 114,H,CA,M,R,W,1956,"MCCLINTOCK, TOM",TOM MCCLINTOCK,M001177
"MCCLORY, ROBERT",MCCLORY,ROBERT,ROBERT MCCLORY,97,H,IL,M,R,W,1908,"MCCLORY, ROBERT",ROBERT MCCLORY,M000340
"MCCLOSKEY, FRANCIS",MCCLOSKEY,FRANCIS,FRANCIS MCCLOSKEY,98 99 100 101 102 103,H,IN,M,D,W,1939,"MCCLOSKEY, FRANK",FRANK MCCLOSKEY,M000342
"MCCLOSKEY, PAUL",MCCLOSKEY,PAUL,PAUL MCCLOSKEY,97,H,CA,M,R,W,1927,"MCCLOSKEY, PAUL N., JR.",PAUL MCCLOSKEY,M000343
"MCCLURE, JAMES",MCCLURE,JAMES,JAMES MCCLURE,97 98 99 100 101,S,ID,M,R,W,1924,"MCCLURE, JAMES A.",JAMES MCCLURE,M000346
"MCCOLLUM, BETTY",MCCOLLUM,BETTY,BETTY MCCOLLUM,107 108 109 110 111 112 113 114,H,MN,F,D,W,1954,"MCCOLLUM, BETTY",BETTY MCCOLLUM,M001143
"MCCOLLUM, BILL",MCCOLLUM,BILL,BILL MCCOLLUM,97 98 99 100 101 102 103 104 105 106,H,FL,M,R,W,1944,"MCCOLLUM, BILL",BILL MCCOLLUM,M000350
"MCCONNELL, MITCH",MCCONNELL,MITCH,MITCH MCCONNELL,99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114,S,KY,M,R,W,1942,"MCCONNELL, MITCH",MITCH MCCONNELL,M000355
